Timestamp,Population,Algorithm,Time(ms),Comparisons,Assignments,Operations,CurrentMemory(KB),PeakMemory(KB)
2026-04-17 20:36:38,100,Insertion Sort,1.896,396,594,0,0.390625,0.78125
2026-04-17 20:36:38,100,Bubble Sort,15.771,9900,0,0,0.390625,0.78125
2026-04-17 20:36:38,100,Merge Sort,65.375,712,2688,2688,0.390625,0.78125
2026-04-17 20:36:47,200,Insertion Sort,1.833,796,1194,0,0.78125,1.5625
2026-04-17 20:36:47,200,Bubble Sort,31.9585,39800,0,0,0.78125,1.5625
2026-04-17 20:36:47,200,Merge Sort,50.812,1624,6176,6176,0.78125,1.5625
2026-04-17 20:36:56,500,Insertion Sort,4.8335,1996,2994,0,1.95312,3.90625
2026-04-17 20:36:56,500,Bubble Sort,341.563,249500,0,0,1.95312,3.90625
2026-04-17 20:36:56,500,Merge Sort,226.709,4544,17952,17952,1.95312,3.90625
2026-04-17 20:37:02,1000,Insertion Sort,14.813,3996,5994,0,3.90625,7.8125
2026-04-17 20:37:02,1000,Bubble Sort,1367.23,999000,0,0,3.90625,7.8125
2026-04-17 20:37:02,1000,Merge Sort,419.48,10088,39904,39904,3.90625,7.8125
2026-04-17 20:37:06,2000,Insertion Sort,11.3125,7996,11994,0,7.8125,15.625
2026-04-17 20:37:06,2000,Bubble Sort,1323.85,3998000,0,0,7.8125,15.625
2026-04-17 20:37:06,2000,Merge Sort,278.083,22176,87808,87808,7.8125,15.625
2026-04-17 20:37:13,5000,Insertion Sort,31.979,19996,29994,0,19.5312,39.0625
2026-04-17 20:37:13,5000,Bubble Sort,9584.67,24995000,0,0,19.5312,39.0625
2026-04-17 20:37:13,5000,Merge Sort,447.75,64008,247232,247232,19.5312,39.0625
2026-04-17 20:37:21,10000,Insertion Sort,63.8755,39996,59994,0,39.0625,78.125
2026-04-17 20:37:21,10000,Bubble Sort,24717.8,99990000,0,0,39.0625,78.125
2026-04-17 20:37:21,10000,Merge Sort,702.771,138016,534464,534464,39.0625,78.125
2026-04-17 20:37:29,20000,Insertion Sort,109.167,79996,119994,0,78.125,156.25
2026-04-17 20:37:29,20000,Bubble Sort,76007.5,399980000,0,0,78.125,156.25
2026-04-17 20:37:29,20000,Merge Sort,1458.9,296032,1148928,1148928,78.125,156.25
2026-04-17 20:37:36,50000,Insertion Sort,259.688,199996,299994,0,195.312,390.625
2026-04-17 20:37:36,50000,Bubble Sort,418732,2499950000,0,0,195.312,390.625
2026-04-17 20:37:36,50000,Merge Sort,2839.21,803904,3137856,3137856,195.312,390.625
2026-04-17 20:37:46,100000,Insertion Sort,595.979,399996,599994,0,390.625,781.25
2026-04-17 20:37:46,100000,Bubble Sort,1.63937e+06,9999900000,0,0,390.625,781.25
2026-04-17 20:37:46,100000,Merge Sort,5695.1,1707808,6675712,6675712,390.625,781.25
2026-04-17 21:13:04,5005,Insertion Sort,26.042,20016,30024,0,19.5508,39.1016
2026-04-17 21:13:04,5005,Bubble Sort,13066.4,25045020,0,0,19.5508,39.1016
2026-04-17 21:13:04,5005,Merge Sort,549.25,64088,247512,247512,19.5508,39.1016
2026-04-17 21:23:24,450,Insertion Sort,3.667,1796,2694,0,1.75781,3.51562
2026-04-17 21:23:24,450,Bubble Sort,277.646,202050,0,0,1.75781,3.51562
2026-04-17 21:23:24,450,Merge Sort,211,4122,15952,15952,1.75781,3.51562
2026-04-17 21:26:02,5000,Insertion Sort,29.1875,19996,29994,0,19.5312,39.0625
2026-04-17 21:26:02,5000,Bubble Sort,11559.6,24995000,0,0,19.5312,39.0625
2026-04-17 21:26:02,5000,Merge Sort,675.563,64008,247232,247232,19.5312,39.0625
2026-04-17 21:28:00,5000,Insertion Sort,23.667,19996,29994,0,19.5312,39.0625
2026-04-17 21:28:00,5000,Bubble Sort,11372.8,24995000,0,0,19.5312,39.0625
2026-04-17 21:28:00,5000,Merge Sort,583.292,64008,247232,247232,19.5312,39.0625
2026-04-17 21:29:56,5000,Insertion Sort,16.375,19996,29994,0,19.5312,39.0625
2026-04-17 21:29:56,5000,Bubble Sort,10279.5,24995000,0,0,19.5312,39.0625
2026-04-17 21:29:56,5000,Merge Sort,764.396,64008,247232,247232,19.5312,39.0625
2026-04-17 21:30:57,5000,Insertion Sort,31.4165,19996,29994,0,19.5312,39.0625
2026-04-17 21:30:57,5000,Bubble Sort,10359.7,24995000,0,0,19.5312,39.0625
2026-04-17 21:30:57,5000,Merge Sort,617.354,64008,247232,247232,19.5312,39.0625
2026-04-17 21:32:38,50000,Insertion Sort,277939,2504932658,1252666342,1252366348,0,195.312
2026-04-17 21:32:38,50000,Bubble Sort,843013,2499950000,3757099044,0,0,195.312
2026-04-17 21:32:38,50000,Merge Sort,5144.9,1436350,3137856,3137856,0,195.312
2026-04-17 21:32:49,5656,Insertion Sort,11326.4,31972486,16008870,15974940,0,22.0938
2026-04-17 21:32:49,5656,Bubble Sort,13943.1,31984680,47924820,0,0,22.0938
2026-04-17 21:32:49,5656,Merge Sort,561.125,127006,283968,283968,0,22.0938
2026-04-17 21:33:53,40005,Insertion Sort,173771,1595554068,797937060,797697036,0,156.27
2026-04-17 21:33:53,40005,Bubble Sort,525260,1600360020,2393091108,0,0,156.27
2026-04-17 21:33:53,40005,Merge Sort,3852.77,1124262,2458196,2458196,0,156.27
